reamostragem,media_valor,pct_medio,pct_mediano,mq_valor_causa,pct_por_sub,mq_pct_p,mq_valor_ce,mq_pct_dg,mq_pct_dgu,ridge,bagging_dg,floresta
864,1603.37,1005.64,1001.86,1030.30,1020.15,1004.96,1024.60,1000.65,1000.01,985.21,1001.99,996.46
865,1633.29,959.69,961.15,971.55,960.52,959.97,972.72,1015.15,1033.38,980.25,1015.32,1035.59
866,1669.06,915.25,961.72,909.77,944.36,912.66,907.00,942.57,960.58,942.66,943.34,912.94
867,1745.73,996.00,1044.38,991.25,1016.64,991.03,990.12,1027.74,1036.34,987.12,1026.29,983.70
868,1743.18,1004.00,1039.97,995.81,1006.68,998.07,989.19,998.69,1170.27,1053.51,998.40,996.76
869,1615.63,939.52,947.44,939.33,939.79,948.37,944.16,959.63,1093.38,1000.28,957.64,974.81
870,1739.92,1063.24,1120.25,1056.76,1061.71,1076.96,1064.64,1065.97,1161.89,1086.72,1062.57,1066.71
871,1688.78,997.43,1004.28,998.93,998.72,994.37,996.20,997.36,1061.65,987.74,996.76,971.28
872,1612.83,910.58,919.35,911.01,910.58,901.06,902.02,928.37,918.69,889.31,922.97,907.72
873,1563.40,945.83,933.59,963.99,959.71,956.95,971.87,966.96,1275.25,1183.54,967.06,1026.69
874,1648.96,998.92,1033.39,1005.13,1008.48,992.99,1002.31,1004.05,1086.77,1006.47,999.54,1024.46
875,1764.40,1006.94,1017.67,1007.33,1052.82,991.84,1001.63,1047.49,1086.42,1040.34,1044.04,1036.74
876,1610.74,935.99,939.57,936.27,949.16,930.89,929.79,967.62,1069.00,985.58,965.85,967.99
877,1811.20,1046.16,1069.72,1043.55,1091.50,1041.78,1037.01,1102.07,1212.25,1079.89,1102.75,1053.37
878,1722.94,1003.45,1008.65,1012.43,1003.69,1011.18,1031.73,1025.38,1055.65,1013.72,1027.61,1037.94
879,1646.28,877.30,940.27,876.34,877.10,866.59,869.30,919.25,980.03,904.67,918.56,926.72
880,1561.50,958.54,945.33,960.31,958.72,990.86,989.13,999.69,1029.43,984.79,1000.03,1026.92
881,1657.71,1084.67,1099.52,1085.58,1100.86,1091.84,1096.28,1124.66,1248.35,1154.67,1124.08,1132.17
882,1783.08,940.05,936.11,943.14,946.52,933.90,935.05,956.09,1073.48,974.85,957.31,947.62
883,1757.46,987.65,1001.70,991.84,988.25,980.77,985.15,992.53,1065.77,998.81,993.21,968.91
884,1616.93,940.19,940.17,948.45,943.95,935.11,942.67,943.57,975.58,932.54,942.30,954.36
885,1622.58,940.89,948.63,940.76,941.85,933.32,941.66,958.99,1067.38,976.90,962.99,962.30
886,1666.17,910.26,910.21,917.43,910.76,900.63,909.97,904.74,1030.06,952.57,900.11,906.22
887,1816.34,1008.81,1007.70,1015.03,1014.15,1018.00,1031.67,1025.43,1106.45,1047.88,1028.54,1046.37
888,1701.21,968.50,964.01,968.94,969.86,956.18,957.26,948.23,1109.00,1001.90,949.70,984.84
889,1753.13,1044.03,1043.57,1045.21,1043.86,1039.86,1052.74,1057.36,1111.52,1053.77,1059.13,1059.05
890,1749.46,937.11,937.36,948.81,936.32,943.88,978.93,928.62,1029.62,940.44,927.43,963.41
891,1806.86,1054.34,1067.97,1053.07,1053.00,1047.15,1043.10,1023.10,1096.49,1040.80,1022.61,1030.21
892,1730.94,968.83,992.99,978.71,973.07,968.72,975.56,972.21,983.34,968.73,970.68,967.79
893,1702.00,1006.57,1055.56,1008.78,1006.61,1005.59,1010.37,995.98,1065.23,997.90,998.45,962.68
894,1686.73,973.47,974.03,975.45,973.39,965.24,969.50,1014.97,1097.77,1020.69,1011.01,1016.15
895,1755.20,1055.83,1071.49,1051.04,1087.00,1065.05,1051.14,1100.52,1133.62,1083.97,1099.52,1101.02
896,1733.65,955.24,985.85,956.98,961.05,950.81,958.04,974.15,1031.42,953.76,971.66,946.31
897,1739.46,996.07,1022.61,998.05,996.43,996.05,996.72,1024.53,1094.37,1040.78,1026.30,990.91
898,1648.76,805.39,804.21,806.50,816.06,800.75,803.91,837.55,947.33,861.91,834.21,835.58
899,1713.71,969.63,966.79,971.05,969.52,973.84,975.36,956.63,1093.11,1007.73,958.11,982.62
900,1645.75,975.79,989.05,975.38,994.05,969.90,972.35,978.43,1166.68,1050.07,978.27,1009.17
901,1727.74,955.59,957.78,956.05,959.02,943.36,951.20,959.28,1067.29,969.30,959.03,954.01
902,1621.21,1024.12,1029.20,1047.92,1024.54,1025.11,1046.53,1024.62,1106.11,1025.65,1024.18,1027.72
903,1650.17,995.47,985.75,1004.58,997.17,986.98,992.95,1032.77,1257.27,1157.37,1033.96,985.27
904,1793.12,899.19,901.23,899.98,946.55,893.00,893.71,921.43,949.60,897.16,918.57,925.09
905,1711.31,955.07,952.68,957.72,965.29,953.20,956.97,1005.39,1115.16,1005.84,1004.09,994.65
906,1761.04,992.16,986.04,998.33,1009.80,986.05,994.28,1008.23,1011.08,983.37,1008.01,979.20
907,1834.41,1045.89,1062.64,1059.82,1061.81,1040.55,1056.52,1076.65,1108.06,1058.45,1076.74,1065.30
908,1594.94,1022.61,1048.76,1052.42,1021.09,1031.61,1056.78,1034.94,1158.33,1030.63,1030.04,991.63
909,1680.89,973.88,986.91,970.74,972.91,968.59,971.59,964.78,984.98,940.38,968.41,932.15
910,1631.90,1008.69,1005.22,1038.61,1008.64,999.87,1031.03,1025.62,1212.72,1028.74,1023.99,1054.35
911,1778.67,981.28,1032.70,981.49,983.81,989.65,988.52,1006.48,1127.41,1005.29,1005.13,991.82
912,1686.71,962.08,961.78,960.33,962.24,975.29,975.57,984.20,1215.71,1050.24,983.74,965.14
913,1773.77,963.39,959.78,966.81,979.16,962.21,969.85,959.98,1168.53,1070.49,961.38,933.61
914,1606.05,935.34,930.70,932.34,935.40,925.69,923.24,932.48,992.59,926.28,931.46,936.53
915,1713.22,995.63,1046.68,988.93,1004.43,1012.33,1009.97,1015.49,1172.65,1116.47,1010.83,1041.63
916,1691.05,969.57,1022.01,974.67,970.08,973.92,978.30,971.34,1096.43,968.64,973.09,972.00
